word1,word2,rel,determiner1,buffer,determiner2,plural1,bufferp,plural2,problem
highway,road,hyp-1,a highway,is,a road,highways,are,roads,
alley,road,hyp-3,an alley,is,a road,alleys,are,roads,
boulevard,road,hyp-3,a boulevard,is,a road,boulevards,are,roads,
freeway,road,hyp-2,a freeway,is,a road,freeways,are,roads,
avenue,road,hyp-3,an avenue,is,a road,avenues,are,roads,
marble,rock,hyp-1,a marble,is,a rock,marbles,are,rocks,
lava,rock,hyp-3,a lava,is,a rock,lavas,are,rocks,
boulder,rock,hyp-1,a boulder,is,a rock,boulders,are,rocks,
missile,rocket,hyp-1,a missile,is,a rocket,missiles,are,rockets,
mouse,rodent,hyp-1,a mouse,is,a rodent,mice,are,rodents,
closet,room,hyp-1,a closet,is,a room,closets,are,rooms,
tissue,skin,r-hyp-3,a tissue,is,a skin,tissues,are,skins,
restriction,rule,hyp-1,a restriction,is,a rule,restrictions,are,rules,
king,ruler,hyp-2,a king,is,a ruler,kings,are,rulers,
emperor,ruler,hyp-2,an emperor,is,a ruler,emperors,are,rulers,
dictator,ruler,hyp-1,a dictator,is,a ruler,dictators,are,rulers,
gossip,rumor,hyp-1,a gossip,is,a rumor,gossips,are,rumors,
tool,screwdriver,r-hyp-2,a tool,is,a screwdriver,tools,are,screwdrivers,
insurance,safety,hyp-3,an insurance,is,a safety,insurances,are,safeties,
navigator,sailor,hyp-3,a navigator,is,a sailor,navigators,are,sailors,
coleslaw,salad,hyp-1,a coleslaw,is,a salad,coleslaws,are,salads,
hamburger,sandwich,hyp-1,a hamburger,is,a sandwich,hamburgers,are,sandwiches,
gravy,sauce,hyp-1,a gravy,is,a sauce,gravies,are,sauces,
tool,shovel,r-hyp-2,a tool,is,a shovel,tools,are,shovels,
toy,doll,r-hyp-1,a toy,is,a doll,toys,are,dolls,
musk,scent,hyp-1,a musk,is,a scent,musks,are,scents,
treatment,medication,r-hyp-3,a treatment,is,a medication,treatments,are,medications,
chemistry,science,hyp-2,chemistry,is,a science,chemistries,are,sciences,2
anatomy,science,hyp-4,anatomy,is,a science,anatomies,are,sciences,2
geology,science,hyp-3,geology,is,a science,geologies,are,sciences,2
math,science,hyp-1,math,is,a science,maths,are,sciences,2
biology,science,hyp-3,biology,is,a science,biologies,are,sciences,2
astronomy,science,hyp-3,astronomy,is,a science,astronomies,are,sciences,2
psychology,science,hyp-1,psychology,is,a science,psychologies,are,sciences,2
chemist,scientist,hyp-1,a chemist,is,a scientist,chemists,are,scientists,
treatment,therapy,r-hyp-2,a treatment,is,a therapy,treatments,are,therapies,
vegetable,spinach,r-hyp-1,a vegetable,is,a spinach,vegetables,are,spinaches,
crab,seafood,hyp-2,crab,is,a seafood,crabs,are,seafoods,
mussel,seafood,hyp-2,mussel,is,a seafood,mussels,are,seafoods,
shrimp,seafood,hyp-1,shrimp,is,a seafood,shrimps,are,seafoods,
clam,seafood,hyp-2,clam,is,a seafood,clams,are,seafoods,
winter,season,hyp-1,winter,is,a season,winters,are,seasons,
autumn,season,hyp-1,autumn,is,a season,autumns,are,seasons,
recliner,seat,hyp-3,a recliner,is,a seat,recliners,are,seats,
bench,seat,hyp-1,a bench,is,a seat,benches,are,seats,
vegetable,tomato,r-hyp-2,a vegetable,is,a tomato,vegetables,are,tomatoes,
sight,sense,hyp-2,sight,is,a sense,sights,are,senses,2
maid,servant,hyp-2,a maid,is,a servant,maids,are,servants,
waitress,server,hyp-1,a waitress,is,a server,waitresses,are,servers,
sphere,shape,hyp-2,a sphere,is,a shape,spheres,are,shapes,
square,shape,hyp-4,a square,is,a shape,squares,are,shapes,
cone,shape,hyp-2,a cone,is,a shape,cones,are,shapes,
rectangle,shape,hyp-4,a rectangle,is,a shape,rectangles,are,shapes,
triangle,shape,hyp-4,a triangle,is,a shape,triangles,are,shapes,
pyramid,shape,hyp-3,a pyramid,is,a shape,pyramids,are,shapes,
circle,shape,hyp-4,a circle,is,a shape,circles,are,shapes,
prism,shape,hyp-3,a prism,is,a shape,prisms,are,shapes,
vehicle,car,r-hyp-4,a vehicle,is,a car,vehicles,are,cars,
ewe,sheep,hyp-1,a ewe,is,a sheep,ewes,are,sheep,
haven,shelter,hyp-1,a haven,is,a shelter,havens,are,shelters,
submarine,ship,hyp-3,a submarine,is,a ship,submarines,are,ships,
sandal,shoe,hyp-1,a sandal,is,a shoe,sandals,are,shoes,
spade,shovel,hyp-2,a spade,is,a shovel,spades,are,shovels,
scoop,shovel,hyp-1,a scoop,is,a shovel,scoops,are,shovels,
vehicle,motorcycle,r-hyp-4,a vehicle,is,a motorcycle,vehicles,are,motorcycles,
vehicle,truck,r-hyp-4,a vehicle,is,a truck,vehicles,are,trucks,
flu,sickness,hyp-3,a flu,is,a sickness,flus,are,sicknesses,
curb,side,hyp-2,curb,is,a side,curbs,are,sides,
walkway,sidewalk,r-hyp-1,a walkway,is,a sidewalk,walkways,are,sidewalks,
label,sign,hyp-3,a label,is,a sign,labels,are,signs,
billboard,sign,hyp-1,a billboard,is,a sign,billboards,are,signs,
letter,sign,hyp-4,a letter,is,a sign,letters,are,signs,
stoplight,signal,hyp-2,a stoplight,is,a signal,stoplights,are,signals,
siren,signal,hyp-2,a siren,is,a signal,sirens,are,signals,
water,puddle,r-hyp-1,a water,is,a puddle,waters,are,puddles,
tenor,singer,hyp-1,a tenor,is,a singer,tenors,are,singers,
circumstance,situation,hyp-2,a circumstance,is,a situation,circumstances,are,situations,
weapon,dagger,r-hyp-2,a weapon,is,a dagger,weapons,are,daggers,
weapon,gun,r-hyp-1,a weapon,is,a gun,weapons,are,guns,
tutu,skirt,hyp-1,a tutu,is,a skirt,tutus,are,skirts,
weapon,sword,r-hyp-1,a weapon,is,a sword,weapons,are,swords,
woman,heroine,r-hyp-1,a woman,is,a heroine,women,are,heroines,
cobra,snake,hyp-2,a cobra,is,a snake,cobras,are,snakes,
work,homework,r-hyp-4,a work,is,a homework,works,are,homeworks,
worker,carpenter,r-hyp-4,a worker,is,a carpenter,workers,are,carpenters,
worker,farmer,r-hyp-3,a worker,is,a farmer,workers,are,farmers,
worker,mason,r-hyp-3,a worker,is,a mason,workers,are,masons,
repentance,sorrow,hyp-2,repentance,is,a sorrow,repentances,are,sorrows,
music,sound,hyp-1,music,is,a sound,musics,are,sounds,
broth,soup,hyp-1,a broth,is,a soup,broths,are,soups,
crevice,space,hyp-2,a crevice,is,a space,crevices,are,spaces,
worker,mechanic,r-hyp-3,a worker,is,a mechanic,workers,are,mechanics,
lecture,speech,hyp-1,a lecture,is,a speech,lectures,are,speeches,
globe,sphere,hyp-1,a globe,is,a sphere,globes,are,spheres,
worker,technician,r-hyp-2,a worker,is,a technician,workers,are,technicians,
worker,waitress,r-hyp-4,a worker,is,a waitress,workers,are,waitresses,
ghost,spirit,hyp-2,a ghost,is,a spirit,ghosts,are,spirits,
soccer,sport,hyp-3,soccer,is,a sport,soccers,are,sports,2
volleyball,sport,hyp-3,volleyball,is,a sport,volleyballs,are,sports,2
baseball,sport,hyp-4,baseball,is,a sport,baseballs,are,sports,2
racquetball,sport,hyp-3,racquetball,is,a sport,racquetballs,are,sports,2
wrestling,sport,hyp-2,wrestling,is,a sport,wrestlings,are,sports,2
cricket,sport,hyp-4,cricket,is,a sport,crickets,are,sports,2
writer,poet,r-hyp-1,a writer,is,a poet,writers,are,poets,
basketball,sport,hyp-3,basketball,is,a sport,basketballs,are,sports,2
softball,sport,hyp-4,softball,is,a sport,softballs,are,sports,2
hockey,sport,hyp-4,hockey,is,a sport,hockeys,are,sports,2
freckle,spot,hyp-2,a freckle,is,a spot,freckles,are,spots,
husband,spouse,hyp-1,a husband,is,a spouse,husbands,are,spouses,
writing,poem,r-hyp-2,a writing,is,a poem,writings,are,poems,
pumpkin,squash,hyp-1,a pumpkin,is,a squash,pumpkins,are,squashes,
zucchini,squash,hyp-3,a zucchini,is,a squash,zucchinis,are,squashes,
chipmunk,squirrel,hyp-1,a chipmunk,is,a squirrel,chipmunks,are,squirrels,
writing,story,r-hyp-3,a writing,is,a story,writings,are,stories,
stick,stalk,hyp-3,a stick,is,a stalk,sticks,are,stalks,
condition,state,hyp-1,a condition,is,a state,conditions,are,states,
trance,state,hyp-3,a trance,is,a state,trances,are,states,
thesis,statement,hyp-4,a thesis,is,a statement,theses,are,statements,
ability,leadership,r-hyp-1,an ability,is,a leadership,abilities,are,leaderships,
marriage,status,hyp-3,a marriage,is,a status,marriages,are,statuses,
prestige,status,hyp-2,a prestige,is,a status,prestiges,are,statuses,
gravel,stone,hyp-1,a gravel,is,a stone,gravels,are,stones,
granite,stone,hyp-3,a granite,is,a stone,granites,are,stones,
ability,strength,r-hyp-2,an ability,is,a strength,abilities,are,strengths,
warehouse,storage,hyp-1,a warehouse,is,a storage,warehouses,are,storages,
twister,storm,hyp-3,a twister,is,a storm,twisters,are,storms,
tornado,storm,hyp-3,a tornado,is,a storm,tornadoes,are,storms,
hurricane,storm,hyp-3,a hurricane,is,a storm,hurricanes,are,storms,
typhoon,storm,hyp-3,a typhoon,is,a storm,typhoons,are,storms,
activity,hobby,r-hyp-3,an activity,is,a hobby,activities,are,hobbies,
fairytale,story,hyp-1,a fairytale,is,a story,fairytales,are,stories,
brook,stream,hyp-1,a brook,is,a stream,brooks,are,streams,
avenue,street,hyp-1,an avenue,is,a street,avenues,are,streets,
boulevard,street,hyp-1,a boulevard,is,a street,boulevards,are,streets,
alley,street,hyp-1,an alley,is,a street,alleys,are,streets,
activity,movement,r-hyp-4,an activity,is,a movement,activities,are,movements,
architecture,structure,hyp-2,an architecture,is,a structure,architectures,are,structures,
house,structure,hyp-2,a house,is,a structure,houses,are,structures,
ancestor,father,r-hyp-4,an ancestor,is,a father,ancestors,are,fathers,
geology,study,hyp-4,geology,is,a study,geologies,are,studies,2
history,study,hyp-2,history,is,a study,histories,are,studies,2
analysis,study,hyp-4,an analysis,is,a study,analyses,are,studies,
physiology,study,hyp-4,physiology,is,a study,physiologies,are,studies,2
biology,study,hyp-4,biology,is,a study,biologies,are,studies,2
philosophy,study,hyp-2,philosophy,is,a study,philosophies,are,studies,2
alcohol,substance,hyp-3,alcohol,is,a substance,alcohols,are,substances,
liquid,substance,hyp-2,liquid,is,a substance,liquids,are,substances,
water,substance,hyp-4,water,is,a substance,waters,are,substances,
goal,success,hyp-2,goal,is,a success,goals,are,successes,4
ancestor,parent,r-hyp-3,an ancestor,is,a parent,ancestors,are,parents,
animal,duck,r-hyp-4,an animal,is,a duck,animals,are,ducks,
hint,suggestion,hyp-1,a hint,is,a suggestion,hints,are,suggestions,
animal,elephant,r-hyp-4,an animal,is,an elephant,animals,are,elephants,
animal,lamb,r-hyp-3,an animal,is,a lamb,animals,are,lambs,
director,supervisor,hyp-1,a director,is,a supervisor,directors,are,supervisors,
animal,mammal,r-hyp-3,an animal,is,a mammal,animals,are,mammals,
beam,support,hyp-2,a beam,is,a support,beams,are,supports,
pavement,surface,hyp-3,a pavement,is,a surface,pavements,are,surfaces,
animal,rat,r-hyp-4,an animal,is,a rat,animals,are,rats,
saber,sword,hyp-2,a saber,is,a sword,sabers,are,swords,
animal,reptile,r-hyp-3,an animal,is,a reptile,animals,are,reptiles,
letter,symbol,hyp-3,a letter,is,a symbol,letters,are,symbols,
star,symbol,hyp-3,a star,is,a symbol,stars,are,symbols,
headache,symptom,hyp-3,a headache,is,a symptom,headaches,are,symptoms,
pain,symptom,hyp-1,a pain,is,a symptom,pains,are,symptoms,
appliance,dishwasher,r-hyp-3,an appliance,is,a dishwasher,appliances,are,dishwashers,
appliance,microwave,r-hyp-3,an appliance,is,a microwave,appliances,are,microwaves,
assignment,task,hyp-1,an assignment,is,a task,assignments,are,tasks,
excise,tax,hyp-2,an excise,is,a tax,excises,are,taxes,
appliance,oven,r-hyp-3,an appliance,is,an oven,appliances,are,ovens,
appliance,refrigerator,r-hyp-3,an appliance,is,a refrigerator,appliances,are,refrigerators,
kingdom,territory,hyp-3,a kingdom,is,a territory,kingdoms,are,territories,
quiz,test,hyp-1,a quiz,is,a test,quizzes,are,tests,
appliance,washer,r-hyp-3,an appliance,is,a washer,appliances,are,washers,
art,sculpture,r-hyp-2,an art,is,a sculpture,arts,are,sculptures,
opinion,thought,hyp-1,an opinion,is,a thought,opinions,are,thoughts,
reflection,thought,hyp-2,a reflection,is,a thought,reflections,are,thoughts,
assignment,homework,r-hyp-2,an assignment,is,a homework,assignments,are,homeworks,
athlete,runner,r-hyp-1,an athlete,is,a runner,athletes,are,runners,
era,time,hyp-2,an era,is,a time,eras,are,times,
bone,tissue,hyp-3,a bone,is,a tissue,bones,are,tissues,
skin,tissue,hyp-3,a skin,is,a tissue,skins,are,tissues,
cigarette,tobacco,hyp-2,a cigarette,is,a tobacco,cigarettes,are,tobaccos,3
restroom,toilet,hyp-1,a restroom,is,a toilet,restrooms,are,toilets,
attendance,appearance,r-hyp-1,an attendance,is,an appearance,attendance,are,appearances,
sickle,tool,hyp-4,a sickle,is,a tool,sickles,are,tools,
ax,tool,hyp-4,an ax,is,a tool,axes,are,tools,
saw,tool,hyp-2,a saw,is,a tool,saws,are,tools,
pitchfork,tool,hyp-2,a pitchfork,is,a tool,pitchforks,are,tools,
shovel,tool,hyp-2,a shovel,is,a tool,shovels,are,tools,
chisel,tool,hyp-4,a chisel,is,a tool,chisels,are,tools,
hatchet,tool,hyp-4,a hatchet,is,a tool,hatchets,are,tools,
scalpel,tool,hyp-4,a scalpel,is,a tool,scalpels,are,tools,
hammer,tool,hyp-2,a hammer,is,a tool,hammers,are,tools,
jigsaw,tool,hyp-3,a jigsaw,is,a tool,jigsaws,are,tools,
screwdriver,tool,hyp-2,a screwdriver,is,a tool,screwdrivers,are,tools,
doll,toy,hyp-1,a doll,is,a toy,dolls,are,toys,
therapy,treatment,hyp-2,a therapy,is,a treatment,therapies,are,treatments,
medication,treatment,hyp-3,a medication,is,a treatment,medications,are,treatments,
cherry,tree,hyp-3,a cherry,is,a tree,cherries,are,trees,4
maple,tree,hyp-2,a maple,is,a tree,maples,are,trees,4
orange,tree,hyp-4,an orange,is,a tree,oranges,are,trees,4
citrus,tree,hyp-3,a citrus,is,a tree,citruses,are,trees,4
walnut,tree,hyp-3,a walnut,is,a tree,walnuts,are,trees,4
plum,tree,hyp-3,a plum,is,a tree,plums,are,trees,4
pine,tree,hyp-3,a pine,is,a tree,pines,are,trees,4
lemon,tree,hyp-4,a lemon,is,a tree,lemons,are,trees,4
fad,trend,hyp-2,a fad,is,a trend,fads,are,trends,
attention,focus,r-hyp-2,an attention,is,a focus,attentions,are,focuses,
education,school,r-hyp-1,an education,is,a school,educations,are,schools,
effect,reaction,r-hyp-2,an effect,is,a reaction,effects,are,reactions,
tractor,truck,hyp-1,a tractor,is,a truck,tractors,are,trucks,
existence,life,r-hyp-1,an existence,is,a life,existences,are,lives,
expert,professional,r-hyp-2,an expert,is,a professional,experts,are,professionals,
explorer,navigator,r-hyp-1,an explorer,is,a navigator,explorers,are,navigators,
extremity,leg,r-hyp-2,an extremity,is,a leg,extremities,are,legs,
nightgown,underwear,hyp-2,a nightgown,is,an underwear,nightgowns,are,underwears,
lingerie,underwear,hyp-1,a lingerie,is,an underwear,lingeries,are,underwears,
kitchen,unit,hyp-4,a kitchen,is,a unit,kitchens,are,units,
meter,unit,hyp-3,a meter,is,a unit,meters,are,units,
section,unit,hyp-2,a section,is,a unit,sections,are,units,
pan,utensil,hyp-3,a pan,is,a utensil,pans,are,utensils,
spatula,utensil,hyp-4,a spatula,is,a utensil,spatulas,are,utensils,
price,value,hyp-1,a price,is,a value,prices,are,values,
potato,vegetable,hyp-2,a potato,is,a vegetable,potatoes,are,vegetables,
bean,vegetable,hyp-2,a bean,is,a vegetable,beans,are,vegetables,
spinach,vegetable,hyp-1,a spinach,is,a vegetable,spinaches,are,vegetables,
radish,vegetable,hyp-2,a radish,is,a vegetable,radishes,are,vegetables,
cabbage,vegetable,hyp-2,a cabbage,is,a vegetable,cabbages,are,vegetables,
tomato,vegetable,hyp-2,a tomato,is,a vegetable,tomatoes,are,vegetables,
pea,vegetable,hyp-2,a pea,is,a vegetable,peas,are,vegetables,
celery,vegetable,hyp-1,a celery,is,a vegetable,celeries,are,vegetables,
squash,vegetable,hyp-1,a squash,is,a vegetable,squashes,are,vegetables,
jeep,vehicle,hyp-4,a jeep,is,a vehicle,jeeps,are,vehicles,
van,vehicle,hyp-3,a van,is,a vehicle,vans,are,vehicles,
auto,vehicle,hyp-4,an auto,is,a vehicle,autos,are,vehicles,
limousine,vehicle,hyp-4,a limousine,is,a vehicle,limousines,are,vehicles,
tractor,vehicle,hyp-3,a tractor,is,a vehicle,tractors,are,vehicles,
vessel,vehicle,hyp-2,a vessel,is,a vehicle,vessels,are,vehicles,
buggy,vehicle,hyp-4,a buggy,is,a vehicle,buggies,are,vehicles,
car,vehicle,hyp-4,a car,is,a vehicle,cars,are,vehicles,
motorcycle,vehicle,hyp-4,a motorcycle,is,a vehicle,motorcycles,are,vehicles,
bicycle,vehicle,hyp-2,a bicycle,is,a vehicle,bicycles,are,vehicles,
automobile,vehicle,hyp-4,an automobile,is,a vehicle,automobiles,are,vehicles,
truck,vehicle,hyp-4,a truck,is,a vehicle,trucks,are,vehicles,
caravan,vehicle,hyp-4,a caravan,is,a vehicle,caravans,are,vehicles,
idea,suggestion,r-hyp-1,an idea,is,a suggestion,ideas,are,suggestions,
insect,mosquito,r-hyp-2,an insect,is,a mosquito,insects,are,mosquitoes,
submarine,vessel,hyp-4,a submarine,is,a vessel,submarines,are,vessels,
instrument,guitar,r-hyp-2,an instrument,is,a guitar,instruments,are,guitars,
alto,voice,hyp-2,an alto,is,a voice,altos,are,voices,
instrument,piano,r-hyp-2,an instrument,is,a piano,instruments,are,pianos,
instrument,scalpel,r-hyp-4,an instrument,is,a scalpel,instruments,are,scalpels,
instrument,trumpet,r-hyp-3,an instrument,is,a trumpet,instruments,are,trumpets,
sidewalk,walkway,hyp-1,a sidewalk,is,a walkway,sidewalks,are,walkways,
instrument,tuba,r-hyp-2,an instrument,is,a tuba,instruments,are,tubas,
officer,corporal,r-hyp-2,an officer,is,a corporal,officers,are,corporals,
organ,kidney,r-hyp-3,an organ,is,a kidney,organs,are,kidneys,
hornet,wasp,hyp-2,a hornet,is,a wasp,hornets,are,wasps,
organization,foundation,r-hyp-3,an organization,is,a foundation,organizations,are,foundations,
lake,water,hyp-1,a lake,is,a water,lakes,are,waters,4
sea,water,hyp-1,a sea,is,a water,seas,are,waters,4
science,anatomy,r-hyp-4,science,is,an anatomy,sciences,are,anatomies,2
puddle,water,hyp-1,a puddle,is,a water,puddles,are,waters,4
creek,water,hyp-2,a creek,is,a water,creeks,are,waters,4
alley,way,hyp-4,an alley,is,a way,alleys,are,ways,
street,way,hyp-3,a street,is,a way,streets,are,ways,
fortune,wealth,hyp-2,a fortune,is,a wealth,fortunes,are,wealths,
pistol,weapon,hyp-3,a pistol,is,a weapon,pistols,are,weapons,
sword,weapon,hyp-1,a sword,is,a weapon,swords,are,weapons,
dagger,weapon,hyp-2,a dagger,is,a weapon,daggers,are,weapons,
gun,weapon,hyp-1,a gun,is,a weapon,guns,are,weapons,
porpoise,whale,hyp-3,a porpoise,is,a whale,porpoises,are,whales,
puff,wind,hyp-2,a puff,is,a wind,puffs,are,winds,
breeze,wind,hyp-1,a breeze,is,a wind,breezes,are,winds,
champagne,wine,hyp-2,a champagne,is,a wine,champagnes,are,wines,
rose,wine,hyp-1,a rose,is,a wine,roses,are,wines,
foresight,wisdom,hyp-4,foresight,is,a wisdom,foresights,are,wisdoms,
science,geology,r-hyp-3,science,is,a geology,sciences,are,geologies,2
heroine,woman,hyp-1,a heroine,is,a woman,heroines,are,women,
wife,woman,hyp-1,a wife,is,a woman,wives,are,women,
girl,woman,hyp-1,a girl,is,a woman,girls,are,women,
mother,woman,hyp-2,a mother,is,a woman,mothers,are,women,
witch,woman,hyp-2,a witch,is,a woman,witches,are,women,
oak,wood,hyp-1,an oak,is,a wood,oaks,are,woods,4
adverb,word,hyp-3,an adverb,is,a word,adverbs,are,words,
pronoun,word,hyp-2,a pronoun,is,a word,pronouns,are,words,
noun,word,hyp-2,a noun,is,a word,nouns,are,words,
adjective,word,hyp-3,an adjective,is,a word,adjectives,are,words,
homework,work,hyp-4,a homework,is,work,homeworks,are,works,2
mason,worker,hyp-3,a mason,is,a worker,masons,are,workers,
miner,worker,hyp-4,a miner,is,a worker,miners,are,workers,
clerk,worker,hyp-2,a clerk,is,a worker,clerks,are,workers,
digger,worker,hyp-4,a digger,is,a worker,diggers,are,workers,
waitress,worker,hyp-4,a waitress,is,a worker,waitresses,are,workers,
employee,worker,hyp-1,an employee,is,a worker,employees,are,workers,
mechanic,worker,hyp-3,a mechanic,is,a worker,mechanics,are,workers,
farmer,worker,hyp-3,a farmer,is,a worker,farmers,are,workers,
technician,worker,hyp-2,a technician,is,a worker,technicians,are,workers,
carpenter,worker,hyp-4,a carpenter,is,a worker,carpenters,are,workers,
price,worth,hyp-2,a price,is,a worth,prices,are,worths,3
poet,writer,hyp-1,a poet,is,a writer,poets,are,writers,
letter,writing,hyp-3,a letter,is,a writing,letters,are,writings,
poem,writing,hyp-2,a poem,is,a writing,poems,are,writings,
story,writing,hyp-3,a story,is,a writing,stories,are,writings,